Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
CREMICA VINAIGRETTE SALAD DRESSING 350GM,CREMICA VINAIGRETTE,2103,8904234100180,GST @12%,115.00,115.00,0.000,87.76,0.000,SAUCES;JAMS;PICKLES,CREMICA,SACUES,,,,
TOPS VINEGAR BROWN NON FRUIT 610ML,TOPS VINEGAR NON FRU,22090020,846597047406,GST @18%,43.00,43.00,7.000,28.43,0.000,SAUCES;JAMS;PICKLES,TOPS,SACUES,,,,
NEUTROGENA FRESH FOAMING CLEANSER 200ML,NEUTROGENA FRESH FOA,0,070501028100,GST @12%,399.00,399.00,0.000,308.41,0.000,PERSONAL CARE,NEUTROGENA,PERSONAL HYGIENE,,,,
PARLE TOP SPIN CRACKER WITH A TWIST 200GM,PARLE TOP SPIN CRACK,0,8901719101892,GST @18%,25.00,25.00,0.000,19.84,0.000,BISCUITS,PARLE,,,,,
ROSE HAND FACE & BODY LOTION 250ML,ROSE HAND FACE & BOD,0,041833010002,GST @12%,150.00,150.00,0.000,105.78,0.000,PERSONAL CARE,,SKIN CARE,,,,
TRESEMME SHAMPOO SPLIT REMEDY STYLING KIT,TRESEMME SHAMPOO SPL,0,8901030564550,GST @12%,514.00,514.00,0.000,415.35,0.000,PERSONAL CARE,TRESEMME,HAIR CARE,,,,
BASKIN ROBBINS ICE CREAM COTTON CANDY 500ML,BASKIN R.COTTON CAND,0,8906006850163,GST @12%,199.00,199.00,0.000,138.00,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM MISSISSIPPI MUD 500ML,BASKIN R.MISSISSIPPI,0,8906006850286,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM BLACK CURRANT 500ML,BASKIN.R.BLACK CURRA,0,8906006850132,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM HONEY NUT CRUNCH 500ML,BASKIN R.HONEY NUT C,0,8906006850088,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM ALMOND PRALINE GOLD 500ML,BASKIN R.ALMOND PRAL,0,8906006850026,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM MISSISSIPPI MUD 125ML,BASKIN.R.MISSISSIPPI,0,8906006850248,GST @12%,69.00,69.00,0.000,47.85,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM HONEY NUT CRUNCH 125ML,BASKIN R.HONEY NUT C,0,8906006850323,GST @12%,69.00,69.00,0.000,47.85,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM GOLD MEDAL RIBBON 125ML,BASKIN R.GOLD MEDAL ,0,8906006850545,GST @12%,69.00,69.00,0.000,47.85,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
FUN FOODS CHEESY NACHO DIP 275GM,FUN FOODS CHEESY NAC,21039030,8906002004560,GST @12%,99.00,99.00,2.000,73.66,0.000,SAUCES;JAMS;PICKLES,FUN FOODS,SACUES,,,,
HIMALAYA CONDITIONER DAMAGE REPAIR PROTEIN 100ML,HIM.CON.DAMAGE REPAI,33051090,8901138510305,GST @18%,70.00,68.00,1.000,52.39,0.000,PERSONAL CARE,HIMALAYA,HAIR CARE,,,,
UNCLE CHIPS SENDHA NAMAK 95GM,UNCLE CHIPS SENDHA N,0,8901491982115,GST @12%,35.00,35.00,0.000,27.71,0.000,SNACKS;CHIPS,UNCLE CHIPS,CHIPS,,,,
OLYMPUS FETA CHEESE 200GM,OLYMPUS FETA CHEESE,0,5202178053016,GST @12%,615.00,615.00,0.000,410.00,0.000,IMPORTED FOODS,OLYMPUS,DAIRY PRODUCTS,,,,
DAIRYLAND MOZZARELLA CHEESE 200GM,DAIRYLAND MOZZARELLA,0,5701638114576,GST @12%,480.00,480.00,0.000,320.00,0.000,IMPORTED FOODS,DAIRYLAND,DAIRY PRODUCTS,,,,
KERRYGOLD WHITE CHEDDAR CHEESE 200GM,KERRYGOLD CHEDDAR CH,0,5011038134112,GST @12%,475.00,475.00,0.000,316.67,0.000,IMPORTED FOODS,KERRYGOLD,DAIRY PRODUCTS,,,,
KERRYGOLD RED CHEDDAR CHEESE 200GM,KERRYGOLD RED CHEDDA,0,5011038133603,GST @12%,475.00,475.00,0.000,316.67,0.000,IMPORTED FOODS,KERRYGOLD,DAIRY PRODUCTS,,,,
NORDEX FOOD DANISH WHITE CHEESE 200GM,NORDEX FOOD DANISH W,0,5701638129891,GST @12%,240.00,240.00,0.000,160.00,0.000,IMPORTED FOODS,NORDEX FOOD,DAIRY PRODUCTS,,,,
ROYAL HOLLANDIA GOUDA 260GM,ROYAL HOLLANDIA GOUD,0,8710912017042,GST @12%,575.00,575.00,0.000,383.34,0.000,IMPORTED FOODS,HOLLANDIA,DAIRY PRODUCTS,,,,
DAIRYLAND DANISH CAMEMBERT CHEESE 125GM,DAIRYLAND DANISH CAM,0,5701638113678,GST @12%,415.00,415.00,0.000,276.67,0.000,IMPORTED FOODS,DAIRYLAND,DAIRY PRODUCTS,,,,
CANZONA DANABLU DANISH BLUE CHEESE 100GM,CANZONA DANABLU DANI,0,5701638115863,GST @12%,300.00,300.00,0.000,200.00,0.000,IMPORTED FOODS,CANAZONA,DAIRY PRODUCTS,,,,
LODIGRANA BELLALODI CHEESE 200GM,LODIGRANA BELLALODI,0,8033406840675,GST @12%,770.00,770.00,0.000,513.34,0.000,IMPORTED FOODS,LODIGRANA,DAIRY PRODUCTS,,,,
HEINRICHSTHALER EMMENTALER CHEESE 200GM,HEINRICHSTHALER EMME,0,5701638114163,GST @12%,480.00,480.00,0.000,320.00,0.000,IMPORTED FOODS,HEINRICHSTHALER,DAIRY PRODUCTS,,,,
AMUL REJOICE GIFT PACK,AMUL REJOICE GIFT PA,0,8901262230124,GST @12%,150.00,150.00,0.000,115.56,0.000,FESTIVAL SPECIAL,AMUL,,,,,
EXO TOUCH & SHINE DISHBAR 300GM,EXO TOUCH & SHINE DI,0,8902102195269,GST @12%,24.00,24.00,0.000,19.75,0.000,HOUSEHOLD;KITCHEN;BATHROOM,EXO,HOUSEHOLD ACCESSORIES,,,,
HALDIRAMS SWEET & SPICY 850GM,H.R.SWEET & SPICY,0,8904063258946,GST @12%,235.00,235.00,0.000,189.90,0.000,READY TO EAT,HALDIRAMS,,,,,
HALDIRAMS KABHI KHATTA KABHI MEETHA 700GM,H.R.KABHI KHATTA KAB,0,8904063258007,GST @12%,205.00,205.00,0.000,165.66,0.000,READY TO EAT,HALDIRAMS,,,,,
GOWARDHAN NATURAL CHEESE MONTERER JACK 200GM,G.MONTEREY CHEESE,0,8906001021193,GST @12%,149.00,149.00,0.000,105.96,0.000,BREAD AND DAIRY,GOWARDHAN,DAIRY PRODUCTS,,,,
GOWARDHAN NATURAL CHEESE CHEDDAR ORANGE 200GM,GOW.CHEDDAR ORANGE C,0,8906001021209,GST @12%,149.00,149.00,0.000,105.96,0.000,BREAD AND DAIRY,GOWARDHAN,DAIRY PRODUCTS,,,,
PEPSODENT TOOTH BRUSH GUM EXPERT SOFT,PEP.T/B GUM EXPERT,96032100,8901030576706,GST @18%,55.00,55.00,1.000,35.85,0.000,PERSONAL CARE,PEPSODENT,ORAL CARE,,,,
VASELINE INTENSIVE CARE DEEP RESTORE 200ML,VAS.DEEP RESTORE,33049930,8901030541278,GST @18%,185.00,185.00,0.000,142.53,0.000,PERSONAL CARE,VASELINE,SKIN CARE,,,,
FAIR & LOVELY MEN MAX FAIRNESS 15GM,FAIR & LOVELY MEN MA,0,8901030513497,GST @12%,20.00,20.00,0.000,16.16,0.000,PERSONAL CARE,FAIR & LOVELY ,SKIN CARE,,,,
LIFEBUOY HANDWASH TOTAL10 BUY2GET1FREE 2X185ML,LIF.H/W TOTAL 10,0,8901030649592,GST @28%,92.00,92.00,0.000,74.34,0.000,PERSONAL CARE,LIFEBUOY,SKIN CARE,,,,
SUNDROP HEALTHY WORLD SUNFLOWER OIL 1LTR,SUN.HEALTHY WORLD OI,0,8901512551306,Tax 5%,110.00,105.00,0.000,85.71,0.000,GROCERY;DALS,SUNDROP,EDIBLE OIL AND GHEE,,,,
COMB RS.5,COMB RS.5,96151900,13877,GST @12%,5.00,5.00,0.000,2.23,0.000,,,,,,,
GIFT TAG RS.2PEC,GIFT TAG RS.2PEC,0,13878,Tax 5%,2.00,2.00,0.000,1.09,0.000,,,,,,,
WILD STONE DEO CHARGE PERFUME BODY SPRAY 120ML,WILD STONE DEO CHARG,3307,8904006306000,GST @28%,199.00,199.00,0.000,131.56,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
WILD STONE DEO THRILL PERFUME BODY SPRAY 120ML,W.S.THRILL DEO ,0,8904006306017,GST @12%,199.00,199.00,0.000,131.56,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
PASEO ELEGANT KITCHEN TOWEL 2ROLL,PASEO ELEGANT KITCHE,48189000,8907250411025,GST @18%,155.00,145.00,12.000,88.78,0.000,HOUSEHOLD;KITCHEN;BATHROOM,PASEO,HOUSEHOLD ACCESSORIES,,,,
LUBE DIAMOND PLUS 5LTR,LUBE DIAMOND PLUS ,2710,13882,GST @18%,1200.00,1200.00,3.000,907.25,0.000,CAR ACCESSORIES,LUBRICANT,,,,,
LUBE MAK MP3 GREASE 1KG,LUBE MAK MP3 ,0,13883,GST @18%,328.00,328.00,0.000,212.94,0.000,CAR ACCESSORIES,LUBRICANT,,,,,
WHISPER CHOICE REGULAR 7PADS,WHISPER CHOICE 7PADS,96190010,4902430769648,GST @12%,30.00,30.00,5.000,23.43,0.000,PERSONAL CARE,WHISPER,SANITARY NEEDS,,,,
PAMPERS PREMIUM CARE XL EXTRA LARGE 16PANTS,PAMPERS PREMIUM CARE,96190030,4902430744768,GST @12%,450.00,450.00,1.000,349.38,0.000,PERSONAL CARE,PAMPERS,BABY CARE,,,,
MCCAIN SMILES PUDINA CHATKA 375GM,MCCAIN SMILES PUDINA,20049000,8906000611227,GST @12%,110.00,110.00,1.000,81.95,0.000,FROZEN FOODS;ICE-CREAM,MC CAIN,FROZEN VEG ,,,,
ORGANIC NATION STRAWBERRY PRESERVE SPREAD 450GM,ORI.N.STRAWBERRY SPR,20071000,A8906047700151A,GST @12%,180.00,180.00,0.000,120.54,0.000,ORGANIC FOODS,ORGANIC NATION,ORGANIC SPREADS,,,,
KNORR SOUP CHICKEN DELITE 11GM,KNORR SOUP CHICKEN D,0,8901030565359,GST @12%,15.00,15.00,0.000,12.23,0.000,DRINKS AND BEVERAGES,KNORR,SOUPS,,,,
KNORR SOUP SWEET CORN CHICKEN 13GM,KNORR SOUP SWEET COR,0,8901030565342,GST @12%,15.00,15.00,0.000,12.23,0.000,DRINKS AND BEVERAGES,KNORR,SOUPS,,,,
KURKURE NAVRATAN MIX TANGY TWIST 190GM,KURKURE NAVRATAN MIX,21069099,8901491207508,GST @12%,35.00,35.00,0.000,25.79,0.000,SNACKS;CHIPS,KURKURE,SNACKS,,,,
NIVEA SOAP CREME SOFT 125GM,NIVEA SOAP CREME SOF,34011190,8904256000017,GST @18%,65.00,65.00,0.000,50.08,0.000,PERSONAL CARE,NIVEA,SKIN CARE,,,,
FRUTINS PEACHES HALVES IN SYRUP 460GM,FRUTINS PEACHES HALV,0,8906030060736,Tax 5%,185.00,175.00,0.000,120.00,0.000,FRUITS & VEGETABLES,FRUTINS,FRUITS,,,,
FIAMA DI WILLS SHOWER GE LEMONGRASS & JOJOBA 250ML,FIAMA SG.LEMONGRASS ,33073090,8901725928179,GST @18%,199.00,199.00,1.000,153.31,0.000,PERSONAL CARE,FIAMA,HAIR CARE,,,,
KARACHI BAKERY PISTA BISCUITS 400GM,KARACHI B.PISTA BISC,0,8908003115948,GST @12%,170.00,170.00,0.000,120.88,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY CHOCOLATE CASHEW BISCUIT 400GM,KARACHI B.CHO.CASHWE,0,8908003115962,GST @12%,180.00,180.00,0.000,128.00,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY CASHEW BISCUITS 400GM,KARACHI B.CASHEW BIS,0,8908003115979,GST @12%,190.00,190.00,0.000,135.11,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY ZEERA CUMIN BISCUITS 400GM,KARACHI.B.ZEERA CUMI,0,8908003115276,GST @12%,150.00,150.00,0.000,106.66,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY FRUIT BISCUITS 400GM,KARACHI B.FRUIT BISC,0,8908004010822,GST @12%,170.00,170.00,0.000,120.88,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY DOUBLE DELIGHT 400GM,KARACHI B.DOUBL DELI,0,8908004010464,GST @12%,180.00,180.00,0.000,128.00,0.000,BISCUITS,KARACHI BAKERY,,,,,
KARACHI BAKERY TRUPLE DELIGHT BISCUIT 600GM,K.B.TRIPLE DELICHT,0,8908004010532,GST @12%,270.00,270.00,0.000,192.00,0.000,BISCUITS,KARACHI BAKERY,,,,,
LIPTON GREEN TEA TULSI NATURA TEA BAGS 25BAGS,LIPTON G.T.TULSI NAT,9023020,8901030577680,GST @5%,140.00,140.00,0.000,115.94,0.000,DRINKS AND BEVERAGES,LIPTON,TEA AND COFFEE,,,,
TIDE PLUS 5KG,TIDE PLUS 5KG,0,4902430731102,GST @12%,388.00,388.00,0.000,319.34,0.000,HOUSEHOLD;KITCHEN;BATHROOM,TIDE,WASHING  DETERGENTS,,,,
PAMPERS PREMIUM PANTS ULTRA SOFT & DRY SMALL 9DIAPERS,PAM.ULTRA DRY SMALL,96190030,4902430656207,GST @12%,150.00,150.00,0.000,115.94,0.000,PERSONAL CARE,PAMPERS,BABY CARE,,,,
PAMPERS PREMIUM PANTS ULTRA SOFT & DRY LARGE 9DIAPERS,PAM.ULTRA SOFT LARGE,96190030,4902430656405,GST @12%,170.00,170.00,0.000,131.40,0.000,PERSONAL CARE,PAMPERS,BABY CARE,,,,
BRITANNIA GOOD DAY CHUNKIES 60GM,BRI.GD.CHUNKIES,19053100,8901063158085,GST @18%,30.00,30.00,0.000,22.80,0.000,BISCUITS,BRITANNIA ,,,,,
SANI FRESH GERM GUARD TOILET CLEANER 500ML,SANI FRESH GERM GUAR,0,8901207020797,Tax 5%,69.00,69.00,0.000,59.75,0.000,HOUSEHOLD;KITCHEN;BATHROOM,SANI,HOUSEHOLD ACCESSORIES,,,,
NIVEA MEN DARK SPOT REDUCTION CREAM 150ML,NIVEA MEN DARK SPOT,33049990,4005900133311,GST @28%,260.00,260.00,0.000,179.76,0.000,PERSONAL CARE,NIVEA,SKIN CARE,,,,
KURKURE SHAHI MIX 165GM,KURKURE SHAHI MIX 16,21069099,8901491207478,GST @12%,35.00,35.00,2.000,25.79,0.000,SNACKS;CHIPS,KURKURE,SNACKS,,,,
TIFY OLIVES JALAPENO STUFFED 350GM,TIFY OLIVES JALAPENO,0,8901483001558,Tax 5%,140.00,140.00,0.000,106.67,0.000,GROCERY;DALS,TIFY,MASALAS;SPICES;SEASONINGS,,,,
AIR WICK AIR FRESHENER SPRAY SANDALWOOD & JASMINE 245ML,A/W.SANDALWOOD JASMI,3307,8901396224303,GST @28%,150.00,150.00,0.000,106.53,0.000,HOUSEHOLD;KITCHEN;BATHROOM,AIRWICK,HOUSEHOLD ACCESSORIES,,,,
AIR WICK AIR FRESHENER SPRAY FRESH WATER 245ML,A/W.FRESH WATER SPRA,3307,8901396224402,GST @18%,150.00,150.00,0.000,115.56,0.000,HOUSEHOLD;KITCHEN;BATHROOM,AIRWICK,HOUSEHOLD ACCESSORIES,,,,
AIR WICK AIR FRESHENER SPRAY CITRUS SPLASH 245ML,A/W.CITRUSH SPLASH S,3307,8901396224204,GST @18%,150.00,150.00,0.000,115.56,0.000,HOUSEHOLD;KITCHEN;BATHROOM,AIRWICK,HOUSEHOLD ACCESSORIES,,,,
DETTOL SHAVING FOAM ORIGINAL FRESH 200GM,DETTOL S/F ORIGINAL,0,8901396333111,GST @12%,175.00,175.00,0.000,138.89,0.000,PERSONAL CARE,DETTOL,PERSONAL HYGIENE,,,,
DETTOL SGAVING FOAM COOL 200GM,DETTOL S/F.COOL,0,8901396333210,GST @12%,175.00,175.00,0.000,138.89,0.000,PERSONAL CARE,DETTOL,PERSONAL HYGIENE,,,,
CREMICA FRINCH FRIES CLASSIC50GM,CREMICA FRINCH FRIES,0,8904234195490,GST @12%,40.00,40.00,0.000,29.63,0.000,SNACKS;CHIPS,CREMICA,SNACKS,,,,
TRESEMME SHAMPOO HAIR FALL CONTROL DEFENSE 190ML,TRE.HFC.SHAMPOO,3305,8901030621987,GST @18%,105.00,105.00,1.000,80.89,0.000,PERSONAL CARE,TRESEMME,HAIR CARE,,,,
LOREAL CASTING CREME GLOSS COLOUR 316 BURGUNDY 24ML,LCC.BURGUNDY 316,33059040,8901526105809,GST @18%,199.00,199.00,1.000,150.58,0.000,PERSONAL CARE,LOREAL,HAIR CARE,,,,
LOREAL CASTING CREAM GLOSS 200 EBONY BLACK 24ML,LCC.EBONY BLACK 200,33059040,8901526105786,GST @18%,299.00,299.00,2.000,226.24,0.000,PERSONAL CARE,LOREAL,HAIR CARE,,,,
GARNIER COLOR NATURAL CREAM 1 NATURAL BLACK 24ML,GAR.1NATURAL BLACK,33059040,8901526204731,GST @18%,80.00,80.00,3.000,60.53,0.000,PERSONAL CARE,GARNIER,HAIR CARE,,,,
MENTOS STRAWBERRY FLAVOUR RS.1,MENTOS STRAWBERRY FL,17049030,8901393016321,GST @18%,1.00,1.00,0.000,0.74,0.000,CHOCOLATES;SWEETS AND CANDIES,MENTOS,TOFFEES AND CANDY,,,,
ALPENLIEBE GOLD RICH MILKY CARAMEL TOFFEE RS.1,ALPENLIEBE RICH MILK,0,8901393015805,GST @18%,1.00,1.00,0.000,0.77,0.000,CHOCOLATES;SWEETS AND CANDIES,ALPENLIEBE,TOFFEES AND CANDY,,,,
MAGAZINE ECONOMIST THE WORLD IN 2018,MAGAZINE ECONOMIST T,490,13922,GST @0%,800.00,800.00,1.000,526.31,0.000,STATIONERY,MAGAZINE,MAGAZINE,,,,
BASKIN ROBBINS ICE CREAM VERY BERRY STRAWBERRY 125ML,BR.VERY BERRY STRAWB,0,8906006850538,GST @12%,69.00,69.00,0.000,47.85,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM CHOCOLATE 500ML,BR.CHOCOLATE,0,8906006850057,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
BASKIN ROBBINS ICE CREAM VERY BERRY STRAWBERRY 500ML,BR.VERY BERRY STRAWB,0,8906006850200,GST @12%,269.00,269.00,0.000,186.50,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
KURKURE BIKANERI BHUJIA 180GM,KURKURE BIKANERI BHU,21069099,8901491207492,GST @12%,35.00,35.00,1.000,25.79,0.000,SNACKS;CHIPS,KURKURE,SNACKS,,,,
BASKIN ROBBINS ICE CREAM VANILLA 500ML,BR.VANILLA 500ML,0,8906006850019,GST @12%,199.00,199.00,0.000,138.00,0.000,FROZEN FOODS;ICE-CREAM,BASKIN ROBBINS,ICE CREAM,,,,
